š;X;X
širiti;-im;nedov.
širjava;-e;ž
širjenje;-a;s
široèka;-e;ž
širok;-oka -o;prid.
široko;-a;m
široko...;;prvi del zloženk
širokobok;-a -o;prid.
širokoèelen;-lna -o;prid.
širokodušen;-šna -o;prid.
širokoglav;;in
širokogruden;-dna -o;prid.
širokogrudnost;-i;ž
širokohlaèen;-èna -o;prid.
širokohlaènik;-a;m
širokokljun;-a -o;prid.
širokokoten;-tna -o;prid.
širokokrajen;-jna -o;prid.
širokokrajnik;-a;m
širokokrak;;in
širokokril;-a -o;prid.
širokolièen;-èna -o;prid.
širokolist;-a -o;prid.
širokolisten;-tna -o;prid.
širokolistnat;-a -o;prid.
širokonog;-a -o;prid.
širokonos;-a -o;prid.
širokopasoven;-vna -o;prid.
širokoperen;-rna -o;prid.
širokoperiti se;-im se;nedov.
širokopleè;-a -e;prid.
širokopleèat;-ata -o;prid.
širokopleènež;-a;m
širokopotezen;-zna -o;prid.
širokopoteznost;-i;ž
širokoprs;-a -o;prid.
širokoprsen;-sna -o;prid.
širokoramen;-mna -o;prid.
širokoriten;-tna -o;prid.
širokorititi se;-im se;nedov.
širokoritnež;-a;m
širokosrèen;-èna -o;prid.
širokosrènost;-i;ž
širokost;;tudi
širokotelesen;-sna -o;prid.
širokotiren;-rna -o;prid.
širokoust;-a -o;prid.
širokoustenje;-a;s
širokoustiti;-im;nedov.
širokoustnež;-a;m
širokoustnost;-i;ž
širokovejen;-jna -o;prid.
širokovejnat;-a -o;prid.
širokovesten;-tna -o;prid.
širokovestnost;-i;ž
širom;;prisl.
širom;;predl.
široma;;prisl.
široširen;-rna -o;prid.
širši;-a -e;prid.
široširen;-rna -o;prid.
širši;-a -e;prid.
širting;-a;m
šiška;-e;ž
šiškarica;-e;ž
šiškast;-a -o;prid.
šiti;šijem;nedov.
šiv;-a;m
šivaè;-a;m
šivalec;-lca;m
šivalen;-lna -o;prid.
šivalka;-e;ž
šivalna;-e;ž
šivalnica;-e;ž
šivalnik;-a;m
šivanje;;tudi
šivanje;-a;s
šivanka;-e;ž
šivankar;-ja;m
šivankarica;-e;ž
šivankarstvo;-a;s
šivankast;-a -o;prid.
šivankin;-a -o;prid.
šivar;-ja;m
šivariti;-im;nedov.
šivast;-a -o;prid.
šivati;-am;nedov.
šiven;-vna -o;prid.
šivilja;-e;ž
šiviljski;-a -o;prid.
šiviljstvo;-a;s
šjor;-a;m
šjora;-e;ž
škadron;-a;m
škaf;škafa;m
škafar;-ja;m
škafarski;-a -o;prid.
škafarstvo;-a;s
škafèek;-èka;m
škafec;-fca;m
škafek;-fka;m
škafen;-fna -o;prid.
škafiè;-a;m
škafnica;-e;ž
škafoma;;prisl.
škafov;-a -o;prid.
škaja;-e;ž
škakljati;-am;nedov.
škalir;-ja;m
škamelj;-mlja;m
škamp;škampa;m
škandal;-a;m
škandalèek;-èka;m
škandalen;-lna -o;prid.
škandaliziranje;-a;s
škandalizirati;-am;nedov. in dov.
škandalozen;-zna -o;prid.
škandaloznost;-i;ž
škant;škanta;m
škapulir;-ja;m
škarjast;-a -o;prid.
škarje;-rij;ž mn.
škarjevec;-vca;m
škarjica;-e;ž
škarjice;-rjic;ž mn.
škarnica;-e;ž
škarnik;-a;m
škarp;škarpa;m
