è;X;X
èetveroškrgar;-ja;m
èetverošteven;-vna -o;prid.
èetverovoglat;-ata -o;prid.
èetverovprega;-e;ž
èetverovprežen;-žna -o;prid.
èetverovprežnik;-a;m
èetverovrsten;-tna -o;prid.
èetverozob;-a -o;prid.
èetverozvok;-a;m
èetvorèek;-èka;m
èetvorica;-e;ž
èetvorka;-e;ž
èevapèiè;-a;m
èevelj;-vlja;m
èeveljc;-a;m
èeveljèek;-èka;m
èevketati;-am;in
èevljar;-ja;m
èevljarèek;-èka;m
èevljarica;-e;ž
èevljarica;-e;ž
èevljariti;-im;nedov.
èevljarjenje;-a;s
èevljarka;-e;ž
èevljarna;-e;ž
èevljarnica;-e;ž
èevljarski;-a -o;prid.
èevljarstvo;-a;s
èevrljati;-am;nedov.
èez;;prisl.
èez;;predl.
èez...;;predpona v sestavljenkah
èezdalje;;prisl.
èezhrbten;-tna -o;prid.
èezinèez;;in
èezinèez;;in
èezkolenski;-a -o;prid.
èezmejen;-jna -o;prid.
èezmeren;-rna -o;prid.
èezmernost;-i;ž
èezmornik;-a;m
èezmorski;-a -o;prid.
èeznaraven;-vna -o;prid.
èeznaturen;-rna -o;prid.
èezoceanka;-e;ž
èezoceanski;-a -o;prid.
èezprsen;-sna -o;prid.
èezramen;-mna -o;prid.
èezramnik;-a;m
èezrobnik;-a;m
èezštevilen;-lna -o;prid.
èezuren;-rna -o;prid.
èežana;-e;ž
èežin;-a;m
èi;;medm.
èiba;-e;ž
èibka;-e;ž
èibuk;-a;m
èiè;èièa;m
èièa;-e;m
èièanje;-a;s
èièati;-am;nedov. in dov.
èièek;-èka;m
èièerka;-e;ž
èièka;-e;ž
èièkast;-a -o;prid.
èièkati;-am;nedov. in dov.
èièkati se;-am se;nedov.
èièki;-a -o;prid.
èièniti;-em;dov.
èifut;-a;m
èifutarija;-e;ž
èifutski;-a -o;prid.
èigar;;zaim. neskl.
èigav;-a -o;zaim.
èigaver;;zaim. neskl.
èigavršen;-šna -o;zaim.
èigra;-e;ž
èih;;medm.
èiherni;-a -o;zaim.
èij;-a -e;zaim.
èik;-a;m
èikanje;-a;s
èikar;-ja;m
èikast;-a -o;prid.
èikati;-am;nedov.
èikniti;-em;dov.
èikoš;-a;m
èil;-a -o;prid.
èilim;-a;m
èilost;-i;ž
èilski;-a -o;prid.
èim;;in
èim;;vez.
èim;;in
èimbolj;;in
èimdalj;;in
èimdalje;;in
èimmanj;;in
èimprej;;in
èimprejšnji;-a -e;prid.
èimveè;;in
èimža;-e;ž
èimžanje;-a;s
èimžati;-am;nedov.
èimžen;-žna -o;prid.
èin;;medm.
èincano;;gl.
èin;;medm.
èincano;;gl.
èinèila;-e;in
èinèilec;-lca;m
èindara;-e;ž
èindara;;medm.
èinela;-e;ž
èinilec;-lca;m
èinitelj;-a;m
èiniteljica;-e;ž
èinitev;-tve;ž
èiniti;-im;nedov.
èiniti;-im;in
èinjenica;-e;ž
èink;;prisl.
èink;;medm.
èinkati;-am;nedov.
èinklja;-e;ž
èinkvantin;-a;m
èinkvin;-a;m
èinkvina;-e;ž
èinoven;-vna -o;prid.
èinovnik;-a;m
èinž;-a;m
èinž;-a;m
èip;-a;m
èipka;-e;ž
èipkar;-ja;m
èipkarica;-e;ž
èipkarski;-a -o;prid.
èipkarstvo;-a;s
èipkast;-a -o;prid.
èipkati;-am;nedov.
èips;-a;m
èir;-a;m
èira èara;èire èare;ž
èira èara;;medm.
èirast;-a -o;prid.
èirav;-a -o;prid.
èireèare;-èar;ž mn.
èiri;;medm.
èiribiršèina;-e;ž
èirièara;-e;ž
èirièek;-èka;m
èirièkati;-am;nedov.
èirik;;medm.
èirikanje;-a;s
èirikati;-am;nedov.
èislanje;-a;s
èislati;-am;nedov.
èislo;-a;s
èist;-a -o;stil.
èistilec;-lca;m
èistilen;-lna -o;prid.
èistilka;-e;ž
èistilnica;-e;ž
èistilnik;-a;m
èistilo;-a;s
èistina;-e;ž
èistinski;-a -o;prid.
èistiti;-im;nedov.
èistka;-e;ž
èistkan;-a -o;prid.
èisto;;prisl.
èistoba;-e;ž
èistoèa;-e;ž
èistokrven;-vna -o;prid.
èistokrvnost;-i;ž
èistopasemski;-a -o;prid.
èistopis;-a;m
èistosrèen;-èna -o;prid.
èistost;-i;ž
èistota;-e;ž
èistunstvo;-a;s
èišèa;-e;ž
èišèenje;-a;s
èiški;-a -o;prid.
èišljak;-a;m
èitalec;-lca;m
èitalka;-e;ž
èitalnica;-e;ž
èitalnièar;-ja;m
èitalnièen;-èna -o;prid.
èitalnik;-a;m
èitalniški;-a -o;prid.
èitalništvo;-a;s
èitanje;-a;s
èitanka;-e;ž
èitankar;-ja;m
èitatelj;-a;m
èitateljstvo;-a;s
èitati;-am;nedov.
èiten;-tna -o;prid.
èitljiv;-a -o;prid.
èitljivost;-i;ž
èitluk;-a;m
èiv;;in
èivèija;-e;m
èivèiv;;medm.
èivk;-a;m
èivkaè;-a;m
èivkanje;-a;s
èivkati;-am;nedov.
èivkniti;-em;dov.
èižek;-žka;m
èižem;-žma;m
èižemèek;-èka;m
èižma;-e;ž
èižmar;-ja;m
èižmica;-e;ž
èlan;-a;m
èlanarina;-e;ž
èlanèiè;-a;m
èlanek;-nka;m
èlanica;-e;ž
èlankar;-ja;m
èlanski;-a -o;prid.
èlanstvo;-a;s
èlen;;in
èlenar;-ja;m
èlenast;-a -o;prid.
èlenek;-nka;m
èlenica;-e;ž
èlenitev;-tve;ž
èleniti;-im;nedov.
èlenjenje;-a;s
èlenjenost;-i;ž
èlenkast;-a -o;prid.
èlenkovit;-a -o;prid.
èlenonožec;-žca;m
èlenovit;-a -o;prid.
èlenovitost;-i;ž
èloveèanski;-a -o;prid.
èloveèanstvo;-a;s
èloveèe;-ta;s
èloveèek;-èka;m
èloveèen;-èna -o;prid.
èloveèenje;-a;s
èloveèina;-e;ž
èloveèiti;-im;nedov.
èloveèjak;;tudi
èloveèji;-a -e;prid.
èloveènjak;-a;m
èloveènost;-i;ž
èloveènosten;-tna -o;prid.
èlovek;-eka;m ed. in dv.
èlovekoljub;-a;m
èlovekoljuben;-bna -o;prid.
èlovekoljubje;-a;s
èlovekoljubnost;-i;ž
èlovekomrzen;-zna -o;prid.
èlovekomrznež;-a;m
èlovekov;-a -o;prid.
èloveški;-a -o;prid.
èloveškost;-i;ž
èloveštvo;-a;s
èmar;-a;m
èmažiti;-im;nedov.
èmeren;ipd.;gl.
èmerika;;tudi
èmerikast;;tudi
èmerikav;;tudi
èmerikavec;;tudi
èmerikavost;;tudi
èmok;;medm.
èmokati;-am;nedov.
èmokniti;-em;dov.
èmokotati;-am;nedov.
èmrèek;-èka;m
èmrkniti;-em;dov.
èmrlj;-a;m
èmrljèek;-èka;m
èmrljevka;-e;ž
èmrlji;-a -e;prid.
èoba;-e;ž
èobast;-a -o;prid.
èobodra;-e;ž
èobodrati;-am;nedov.
èof;;medm.
èofanje;-a;s
èofati;-am;nedov.
èofiti;-im;in
èofniti;-em;in
èofodrati;-am;nedov.
èofot;-ota;m
